AnimalName,AnimalGender,AnimalBirthYear,BreedName,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
PIPPA,F,2015,Not Provided,11208,12/31/2021,12/31/2022,2022
LINCOLN,M,2015,Golden Retriever,10302,12/31/2021,12/31/2022,2022
ERNEST,M,2017,Italian Greyhound,10019,12/31/2021,06/30/2022,2022
CHEWEY,M,2021,Yorkshire Terrier,11249,12/31/2021,12/31/2022,2022
CHAI,F,2019,Shetland Sheepdog,11222,12/31/2021,11/23/2026,2022
PATRON,F,2012,Not Provided,11421,12/31/2021,12/31/2022,2022
MAX,M,2007,Pit/Lab,11201,12/31/2021,02/13/2023,2022
PRINCESS,F,2013,Not Provided,10035,12/31/2021,12/31/2022,2022
BENTLEY,M,2018,Shih Tzu,10475,12/31/2021,01/01/2023,2022
EMBER,F,2009,Labrador Retriever,10463,12/31/2021,12/16/2022,2022
SCAMPS,M,2010,Maltese / Yorkie Mix - Morkie,10027,12/31/2021,01/25/2023,2022
BOM,F,2021,Shih Tzu,10467,12/31/2021,12/31/2022,2022
REUBEN,M,2016,French Bulldog,10032,12/31/2021,12/30/2022,2022
NAME NOT PROVIDED,M,2021,Yorkshire Terrier,11429,12/31/2021,12/31/2022,2022
OLIVIA,F,2017,Goldendoodle,11249,12/31/2021,12/31/2022,2022
MANNY,M,2013,Portuguese Podengo Pequeno,10065,12/31/2021,01/05/2023,2022
ROCKY,M,2021,Not Provided,10023,12/31/2021,12/31/2022,2022
PENNY,F,2020,Great Pyrenees,11357,12/31/2021,01/04/2023,2022
MINI,F,2021,Shih Tzu,10463,12/31/2021,12/31/2022,2022
LILLY,F,2012,Yorkshire Terrier,11422,12/31/2021,10/20/2023,2022
JUNIPER,F,2018,Not Provided,10024,12/31/2021,12/31/2022,2022
NAME NOT PROVIDED,F,2021,Yorkshire Terrier,10031,12/31/2021,12/31/2022,2022
BRUISER,M,2012,Not Provided,10306,12/31/2021,02/02/2023,2022
UNKNOWN,F,2015,Maltese Crossbreed,11236,12/31/2021,12/31/2022,2022
ROOMBA,M,2019,Labrador Retriever Crossbreed,11249,12/31/2021,12/31/2022,2022
OLIVER,M,2018,Golden Retriever,11378,12/31/2021,12/09/2022,2022
JASPER,M,2021,French Bulldog,11356,12/31/2021,12/31/2022,2022
BELLA,F,2018,American Pit Bull Mix / Pit Bull Mix,10460,12/31/2021,12/31/2022,2022
BETSY,F,2021,Golden Retriever,10280,12/31/2021,12/31/2022,2022
NAME NOT PROVIDED,M,2021,Yorkshire Terrier,10303,12/31/2021,12/31/2022,2022
ZUSHI,M,2021,American Bully,11421,12/31/2021,12/31/2022,2022
MILO,F,2021,Not Provided,11692,12/31/2021,12/31/2022,2022
MILO,M,2020,French Bulldog,11231,12/31/2021,01/06/2023,2022
CRANBERRY,F,2021,Goldendoodle,10005,12/31/2021,12/31/2022,2022
OLLIE,M,2015,Shih Tzu,10001,12/31/2021,10/07/2022,2022
RIVER,M,2020,Goldendoodle,11364,12/31/2021,11/20/2022,2022
KUJO,M,2016,Chihuahua,10016,12/31/2021,12/31/2022,2022
DINGO,M,2007,Chihuahua,11369,12/31/2021,12/31/2022,2022
MERRY,F,2021,Not Provided,10459,12/31/2021,12/31/2022,2022
KARA,F,2016,American Pit Bull Mix / Pit Bull Mix,11231,12/31/2021,01/30/2023,2022
NAME NOT PROVIDED,M,2021,Pomeranian,11418,12/31/2021,12/31/2022,2022
MIA,F,2016,Labradoodle,10023,12/31/2021,12/30/2022,2022
SARGENT,M,2017,Not Provided,10302,12/31/2021,12/31/2022,2022
UNKNOWN,F,2020,"Coonhound, Redbone",11004,12/31/2021,12/31/2022,2022
STELLA,F,2013,"Poodle, Miniature",10021,12/31/2021,01/11/2023,2022
DIX,M,2017,"Poodle, Miniature",10025,12/31/2021,02/12/2023,2022
BROOKLYN,F,2021,American Pit Bull Terrier/Pit Bull,10022,12/31/2021,12/31/2022,2022
CHIKU,M,2019,Not Provided,11221,12/31/2021,12/31/2022,2022
ELI,M,2011,American Pit Bull Terrier/Pit Bull,10026,12/31/2021,01/14/2023,2022
BIGGIE,M,2021,American Pit Bull Terrier/Pit Bull,11239,12/31/2021,12/31/2022,2022
FRITZ,M,2009,German Shepherd Dog,11411,12/31/2021,02/11/2023,2022
BAILEY,F,2020,Poodle Crossbreed,11215,12/31/2021,09/01/2022,2022
MAJOR,M,2012,Labrador Retriever,10002,12/31/2021,02/04/2023,2022
BELLA,F,2008,American Staffordshire Terrier,10024,12/31/2021,02/13/2023,2022
TUGBOAT,M,2021,Pembroke Welsh Corgi,10314,12/31/2021,12/31/2022,2022
FIONA,F,2014,Labrador Retriever,11231,12/31/2021,12/02/2022,2022
PRESLEY,M,2019,German Shepherd Dog,10465,12/31/2021,12/31/2022,2022
LONI,F,2019,Not Provided,11101,12/31/2021,12/31/2022,2022
PRECIOUS,F,2021,Chihuahua,11368,12/31/2021,12/31/2022,2022
CARL,M,2018,Shih Tzu,10024,12/31/2021,12/31/2022,2022
SCRAPPY,M,2020,Not Provided,10011,12/31/2021,12/31/2022,2022
LOLA,F,2020,Terrier mix,10014,12/31/2021,12/31/2022,2022
BECCA,F,2021,Siberian Husky,10306,12/31/2021,12/31/2022,2022
SAMBUCA,M,2018,Poodle,10312,12/31/2021,12/31/2022,2022
LUCY,F,2012,Shih Tzu,10021,12/31/2021,12/16/2022,2022
RILEY,M,2013,Border Collie,10302,12/31/2021,12/31/2022,2022
ESPAKY,M,2021,Golden Retriever,11373,12/31/2021,12/31/2022,2022
EVIE,F,2021,Australian Shepherd,11217,12/31/2021,12/31/2022,2022
HARLIE,F,2018,Not Provided,10465,12/31/2021,12/31/2024,2022
PEPPER,F,2018,Terrier Crossbreed,10040,12/31/2021,04/05/2023,2022
LOUIE,M,2019,Labrador Retriever Crossbreed,11435,12/31/2021,12/31/2022,2022
MAGGIE,F,2018,Not Provided,11225,12/31/2021,12/31/2022,2022
LUCKY,M,2020,Cockapoo,11365,12/31/2021,12/31/2022,2022
UNKNOWN,F,2020,Bloodhound Crossbreed,11218,12/31/2021,12/31/2022,2022
JUPITER,F,2021,Labradoodle,10461,12/31/2021,12/31/2022,2022
ASH,M,2016,Maltese Crossbreed,11357,12/31/2021,02/05/2023,2022
GERTIE,F,2018,Australian Cattledog,10037,12/31/2021,06/30/2022,2022
JACKSON,M,2012,Wire Fox Terrier,11215,12/31/2021,02/09/2023,2022
COCO,F,2012,Lhasa Apso,10023,12/31/2021,01/29/2023,2022
KATSU,F,2021,Pembroke Welsh Corgi,11361,12/31/2021,12/31/2022,2022
LUFF,M,2021,Rottweiler,11365,12/31/2021,12/31/2022,2022
APPA,M,2013,Goldendoodle,10027,12/31/2021,01/30/2023,2022
SALVANO,F,2021,Pomeranian,11223,12/31/2021,12/31/2022,2022
NAME NOT PROVIDED,F,2021,Yorkshire Terrier,11206,12/31/2021,12/31/2022,2022
HUDSON,M,2021,Pembroke Welsh Corgi,10314,12/31/2021,12/31/2022,2022
